timestamp,MpKrakBujaka-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-11 07:00:00,194.825,306.454,262.934,316.013
2017-01-11 08:00:00,266.053,273.277,305.495,352.648
2017-01-11 09:00:00,300.283,282.801,284.81,352.112
2017-01-11 10:00:00,306.454,241.069,260.099,370.986
2017-01-11 11:00:00,273.277,215.904,316.013,375.556
2017-01-11 12:00:00,282.801,262.934,352.648,348.99
2017-01-11 13:00:00,241.069,305.495,352.112,328.691
2017-01-11 14:00:00,215.904,284.81,370.986,91.1382
2017-01-11 15:00:00,262.934,260.099,375.556,17.9238
2017-01-11 16:00:00,305.495,316.013,348.99,13.3259
2017-01-11 17:00:00,284.81,352.648,328.691,17.9632
2017-01-11 18:00:00,260.099,352.112,91.1382,13.7196
2017-01-11 19:00:00,316.013,370.986,17.9238,23.8965
2017-01-11 20:00:00,352.648,375.556,13.3259,33.943000000000005
2017-01-11 21:00:00,352.112,348.99,17.9632,40.2539
2017-01-11 22:00:00,370.986,328.691,13.7196,25.8167
2017-01-11 23:00:00,375.556,91.1382,23.8965,25.857
2017-01-12 00:00:00,348.99,17.9238,33.943000000000005,30.1115
2017-01-12 01:00:00,328.691,13.3259,40.2539,28.3074
2017-01-12 02:00:00,91.1382,17.9632,25.8167,21.4848
2017-01-12 03:00:00,17.9238,13.7196,25.857,29.1107
2017-01-12 04:00:00,13.3259,23.8965,30.1115,27.8698
2017-01-12 05:00:00,17.9632,33.943000000000005,28.3074,27.5907
2017-01-12 06:00:00,13.7196,40.2539,21.4848,38.8565
2017-01-12 07:00:00,23.8965,25.8167,29.1107,46.5977
2017-01-12 08:00:00,33.943000000000005,25.857,27.8698,39.275
2017-01-12 09:00:00,40.2539,30.1115,27.5907,26.9457
2017-01-12 10:00:00,25.8167,28.3074,38.8565,30.4736
2017-01-12 11:00:00,25.857,21.4848,46.5977,29.1345
2017-01-12 12:00:00,30.1115,29.1107,39.275,34.0299
2017-01-12 13:00:00,28.3074,27.8698,26.9457,25.9937
2017-01-12 14:00:00,21.4848,27.5907,30.4736,21.897
2017-01-12 15:00:00,29.1107,38.8565,29.1345,25.1041
2017-01-12 16:00:00,27.8698,46.5977,34.0299,34.6139
2017-01-12 17:00:00,27.5907,39.275,25.9937,34.6028
2017-01-12 18:00:00,38.8565,26.9457,21.897,23.8405
2017-01-12 19:00:00,46.5977,30.4736,25.1041,43.647
2017-01-12 20:00:00,39.275,29.1345,34.6139,41.9762
2017-01-12 21:00:00,26.9457,34.0299,34.6028,54.4781
2017-01-12 22:00:00,30.4736,25.9937,23.8405,38.3053
2017-01-12 23:00:00,29.1345,21.897,43.647,24.4952
2017-01-13 00:00:00,34.0299,25.1041,41.9762,28.6774
2017-01-13 01:00:00,25.9937,34.6139,54.4781,21.3168
2017-01-13 02:00:00,21.897,34.6028,38.3053,19.7582
2017-01-13 03:00:00,25.1041,23.8405,24.4952,16.1529
2017-01-13 04:00:00,34.6139,43.647,28.6774,17.4539
2017-01-13 05:00:00,34.6028,41.9762,21.3168,20.8164
2017-01-13 06:00:00,23.8405,54.4781,19.7582,18.9548
2017-01-13 07:00:00,43.647,38.3053,16.1529,21.8373
2017-01-13 08:00:00,41.9762,24.4952,17.4539,26.8473
2017-01-13 09:00:00,54.4781,28.6774,20.8164,28.4248
2017-01-13 10:00:00,38.3053,21.3168,18.9548,31.5374
2017-01-13 11:00:00,24.4952,19.7582,21.8373,23.1291
2017-01-13 12:00:00,28.6774,16.1529,26.8473,17.1677
2017-01-13 13:00:00,21.3168,17.4539,28.4248,20.2959
2017-01-13 14:00:00,19.7582,20.8164,31.5374,15.6867
2017-01-13 15:00:00,16.1529,18.9548,23.1291,13.0418
2017-01-13 16:00:00,17.4539,21.8373,17.1677,10.2838
2017-01-13 17:00:00,20.8164,26.8473,20.2959,16.6123
2017-01-13 18:00:00,18.9548,28.4248,15.6867,16.2463
2017-01-13 19:00:00,21.8373,31.5374,13.0418,20.4645
2017-01-13 20:00:00,26.8473,23.1291,10.2838,19.078
2017-01-13 21:00:00,28.4248,17.1677,16.6123,23.8582
2017-01-13 22:00:00,31.5374,20.2959,16.2463,25.496
2017-01-13 23:00:00,23.1291,15.6867,20.4645,29.4075
2017-01-14 00:00:00,17.1677,13.0418,19.078,32.0733
2017-01-14 01:00:00,20.2959,10.2838,23.8582,28.5864
2017-01-14 02:00:00,15.6867,16.6123,25.496,39.6981
2017-01-14 03:00:00,13.0418,16.2463,29.4075,35.2592
2017-01-14 04:00:00,10.2838,20.4645,32.0733,37.8153
