timestamp,MpKrakAlKras-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-11 04:00:00,287.13,276.25,285.5420000000001,287.366
2017-01-11 05:00:00,268.738,303.768,355.36300000000006,233.189
2017-01-11 06:00:00,267.539,335.306,324.514,216.569
2017-01-11 07:00:00,276.25,341.435,318.493,223.736
2017-01-11 08:00:00,303.768,325.126,287.366,246.737
2017-01-11 09:00:00,335.306,285.5420000000001,233.189,280.557
2017-01-11 10:00:00,341.435,355.36300000000006,216.569,278.801
2017-01-11 11:00:00,325.126,324.514,223.736,276.895
2017-01-11 12:00:00,285.5420000000001,318.493,246.737,285.27
2017-01-11 13:00:00,355.36300000000006,287.366,280.557,290.87
2017-01-11 14:00:00,324.514,233.189,278.801,165.238
2017-01-11 15:00:00,318.493,216.569,276.895,26.4842
2017-01-11 16:00:00,287.366,223.736,285.27,24.4122
2017-01-11 17:00:00,233.189,246.737,290.87,20.4476
2017-01-11 18:00:00,216.569,280.557,165.238,27.7911
2017-01-11 19:00:00,223.736,278.801,26.4842,34.437
2017-01-11 20:00:00,246.737,276.895,24.4122,38.3103
2017-01-11 21:00:00,280.557,285.27,20.4476,37.5743
2017-01-11 22:00:00,278.801,290.87,27.7911,35.8154
2017-01-11 23:00:00,276.895,165.238,34.437,38.4955
2017-01-12 00:00:00,285.27,26.4842,38.3103,37.0695
2017-01-12 01:00:00,290.87,24.4122,37.5743,42.5327
2017-01-12 02:00:00,165.238,20.4476,35.8154,33.2731
2017-01-12 03:00:00,26.4842,27.7911,38.4955,28.2367
2017-01-12 04:00:00,24.4122,34.437,37.0695,32.0472
2017-01-12 05:00:00,20.4476,38.3103,42.5327,34.519
2017-01-12 06:00:00,27.7911,37.5743,33.2731,42.4295
2017-01-12 07:00:00,34.437,35.8154,28.2367,60.9584
2017-01-12 08:00:00,38.3103,38.4955,32.0472,68.5873
2017-01-12 09:00:00,37.5743,37.0695,34.519,58.3249
2017-01-12 10:00:00,35.8154,42.5327,42.4295,65.225
2017-01-12 11:00:00,38.4955,33.2731,60.9584,53.1036
2017-01-12 12:00:00,37.0695,28.2367,68.5873,37.3721
2017-01-12 13:00:00,42.5327,32.0472,58.3249,39.9367
2017-01-12 14:00:00,33.2731,34.519,65.225,32.0887
2017-01-12 15:00:00,28.2367,42.4295,53.1036,24.241
2017-01-12 16:00:00,32.0472,60.9584,37.3721,41.8261
2017-01-12 17:00:00,34.519,68.5873,39.9367,48.3582
2017-01-12 18:00:00,42.4295,58.3249,32.0887,45.6358
2017-01-12 19:00:00,60.9584,65.225,24.241,52.0737
2017-01-12 20:00:00,68.5873,53.1036,41.8261,61.7348
2017-01-12 21:00:00,58.3249,37.3721,48.3582,79.8738
2017-01-12 22:00:00,65.225,39.9367,45.6358,77.6089
2017-01-12 23:00:00,53.1036,32.0887,52.0737,63.8737
2017-01-13 00:00:00,37.3721,24.241,61.7348,82.2777
2017-01-13 01:00:00,39.9367,41.8261,79.8738,146.213
2017-01-13 02:00:00,32.0887,48.3582,77.6089,93.8694
2017-01-13 03:00:00,24.241,45.6358,63.8737,53.3162
2017-01-13 04:00:00,41.8261,52.0737,82.2777,47.7262
2017-01-13 05:00:00,48.3582,61.7348,146.213,60.3633
2017-01-13 06:00:00,45.6358,79.8738,93.8694,91.204
2017-01-13 07:00:00,52.0737,77.6089,53.3162,92.7182
2017-01-13 08:00:00,61.7348,63.8737,47.7262,98.6935
2017-01-13 09:00:00,79.8738,82.2777,60.3633,91.4124
2017-01-13 10:00:00,77.6089,146.213,91.204,75.4249
2017-01-13 11:00:00,63.8737,93.8694,92.7182,40.8994
2017-01-13 12:00:00,82.2777,53.3162,98.6935,29.2749
2017-01-13 13:00:00,146.213,47.7262,91.4124,24.6686
2017-01-13 14:00:00,93.8694,60.3633,75.4249,13.7858
2017-01-13 15:00:00,53.3162,91.204,40.8994,16.3601
2017-01-13 16:00:00,47.7262,92.7182,29.2749,14.6362
2017-01-13 17:00:00,60.3633,98.6935,24.6686,18.0931
2017-01-13 18:00:00,91.204,91.4124,13.7858,19.5141
2017-01-13 19:00:00,92.7182,75.4249,16.3601,18.8031
2017-01-13 20:00:00,98.6935,40.8994,14.6362,20.3013
2017-01-13 21:00:00,91.4124,29.2749,18.0931,23.439
2017-01-13 22:00:00,75.4249,24.6686,19.5141,28.2082
2017-01-13 23:00:00,40.8994,13.7858,18.8031,35.1773
2017-01-14 00:00:00,29.2749,16.3601,20.3013,33.9939
2017-01-14 01:00:00,24.6686,14.6362,23.439,54.8448
2017-01-14 02:00:00,13.7858,18.0931,28.2082,68.783
2017-01-14 03:00:00,16.3601,19.5141,35.1773,82.8035
2017-01-14 04:00:00,14.6362,18.8031,33.9939,97.314
2017-01-14 05:00:00,18.0931,20.3013,54.8448,81.67
2017-01-14 06:00:00,19.5141,23.439,68.783,113.174
2017-01-14 07:00:00,18.8031,28.2082,82.8035,111.509
2017-01-14 08:00:00,20.3013,35.1773,97.314,83.5608
2017-01-14 09:00:00,23.439,33.9939,81.67,61.3831
2017-01-14 10:00:00,28.2082,54.8448,113.174,61.9064
2017-01-14 11:00:00,35.1773,68.783,111.509,76.8325
2017-01-14 12:00:00,33.9939,82.8035,83.5608,66.1751
2017-01-14 13:00:00,54.8448,97.314,61.3831,68.4421
2017-01-14 14:00:00,68.783,81.67,61.9064,54.1407
2017-01-14 15:00:00,82.8035,113.174,76.8325,53.1823
2017-01-14 16:00:00,97.314,111.509,66.1751,44.014
2017-01-14 17:00:00,81.67,83.5608,68.4421,35.3705
2017-01-14 18:00:00,113.174,61.3831,54.1407,30.8985
2017-01-14 19:00:00,111.509,61.9064,53.1823,39.0834
2017-01-14 20:00:00,83.5608,76.8325,44.014,33.8643
2017-01-14 21:00:00,61.3831,66.1751,35.3705,38.2377
2017-01-14 22:00:00,61.9064,68.4421,30.8985,44.7319
2017-01-14 23:00:00,76.8325,54.1407,39.0834,43.9859
2017-01-15 00:00:00,66.1751,53.1823,33.8643,39.901
2017-01-15 01:00:00,68.4421,44.014,38.2377,50.3905
2017-01-15 02:00:00,54.1407,35.3705,44.7319,50.0616
2017-01-15 03:00:00,53.1823,30.8985,43.9859,28.3223
2017-01-15 04:00:00,44.014,39.0834,39.901,37.3021
2017-01-15 05:00:00,35.3705,33.8643,50.3905,49.5304
2017-01-15 06:00:00,30.8985,38.2377,50.0616,98.7476
2017-01-15 07:00:00,39.0834,44.7319,28.3223,87.1502
2017-01-15 08:00:00,33.8643,43.9859,37.3021,84.3725
2017-01-15 09:00:00,38.2377,39.901,49.5304,90.7425
2017-01-15 10:00:00,44.7319,50.3905,98.7476,92.5224
2017-01-15 11:00:00,43.9859,50.0616,87.1502,111.877
2017-01-15 12:00:00,39.901,28.3223,84.3725,126.982
2017-01-15 13:00:00,50.3905,37.3021,90.7425,152.252
2017-01-15 14:00:00,50.0616,49.5304,92.5224,121.643
2017-01-15 15:00:00,28.3223,98.7476,111.877,132.54399999999998
2017-01-15 16:00:00,37.3021,87.1502,126.982,140.999
2017-01-15 17:00:00,49.5304,84.3725,152.252,99.9689
2017-01-15 18:00:00,98.7476,90.7425,121.643,71.9929
2017-01-15 19:00:00,87.1502,92.5224,132.54399999999998,95.6811
2017-01-15 20:00:00,84.3725,111.877,140.999,105.596
2017-01-15 21:00:00,90.7425,126.982,99.9689,97.6361
2017-01-15 22:00:00,92.5224,152.252,71.9929,100.485
2017-01-15 23:00:00,111.877,121.643,95.6811,66.577
2017-01-16 00:00:00,126.982,132.54399999999998,105.596,92.9164
2017-01-16 01:00:00,152.252,140.999,97.6361,89.475
2017-01-16 02:00:00,121.643,99.9689,100.485,78.9905
2017-01-16 03:00:00,132.54399999999998,71.9929,66.577,77.7068
2017-01-16 04:00:00,140.999,95.6811,92.9164,68.3211
2017-01-16 05:00:00,99.9689,105.596,89.475,64.1304
2017-01-16 06:00:00,71.9929,97.6361,78.9905,78.672
2017-01-16 07:00:00,95.6811,100.485,77.7068,82.7501
2017-01-16 08:00:00,105.596,66.577,68.3211,75.872
2017-01-16 09:00:00,97.6361,92.9164,64.1304,93.0619
2017-01-16 10:00:00,100.485,89.475,78.672,128.549
2017-01-16 11:00:00,66.577,78.9905,82.7501,132.06
2017-01-16 12:00:00,92.9164,77.7068,75.872,156.187
2017-01-16 13:00:00,89.475,68.3211,93.0619,162.34
2017-01-16 14:00:00,78.9905,64.1304,128.549,152.006
2017-01-16 15:00:00,77.7068,78.672,132.06,154.30200000000005
2017-01-16 16:00:00,68.3211,82.7501,156.187,169.328
2017-01-16 17:00:00,64.1304,75.872,162.34,156.929
2017-01-16 18:00:00,78.672,93.0619,152.006,140.819
2017-01-16 19:00:00,82.7501,128.549,154.30200000000005,126.413
2017-01-16 20:00:00,75.872,132.06,169.328,96.7489
2017-01-16 21:00:00,93.0619,156.187,156.929,89.6072
2017-01-16 22:00:00,128.549,162.34,140.819,76.583
2017-01-16 23:00:00,132.06,152.006,126.413,55.952
2017-01-17 00:00:00,156.187,154.30200000000005,96.7489,69.4557
2017-01-17 01:00:00,162.34,169.328,89.6072,121.956
2017-01-17 02:00:00,152.006,156.929,76.583,98.4277
2017-01-17 03:00:00,154.30200000000005,140.819,55.952,68.0062
2017-01-17 04:00:00,169.328,126.413,69.4557,65.0711
2017-01-17 05:00:00,156.929,96.7489,121.956,68.0174
2017-01-17 06:00:00,140.819,89.6072,98.4277,61.1516
2017-01-17 07:00:00,126.413,76.583,68.0062,52.0079
